ORIGIN_AIRPORT_ID,DEST_AIRPORT_ID,DEP_DELAY,TAXI_OUT,TAXI_IN,ARR_DELAY,CRS_ELAPSED_TIME,ACTUAL_ELAPSED_TIME,AIR_TIME,DISTANCE,DelayInv_norm,taxioutInv_norm,taxiinInv_norm,arrdelayInv_norm,CRS_ELAPSED_TIME_Norm,CRS_ELAPSED_TIME_INV_Norm,ACTUAL_ELAPSED_TIME_Norm,ACTUAL_ELAPSED_TIME_INV_Norm,AIR_TIME_Inv_Norm,AIR_TIME_Norm,Dist_Norm,Dist_Inv_Norm,Rand#
14843,13303,3,16,9,-13,179,163,138,1045,0.998641304,0.91011236,0.97826087,1.005938785,0.252824859,0.747175141,0.224517906,0.775482094,0.800865801,0.199134199,0.209713024,0.790286976,0.544924673
11259,10693,13,11,5,1,100,88,72,623,0.994112319,0.938202247,0.987922705,0.99954317,0.141242938,0.858757062,0.121212121,0.878787879,0.896103896,0.103896104,0.125025085,0.874974915,0.590181588
12953,11259,-6,19,5,-52,260,214,190,1381,1.002717391,0.893258427,0.987922705,1.023755139,0.367231638,0.632768362,0.29476584,0.70523416,0.725829726,0.274170274,0.277142284,0.722857716,0.180613433
10140,14679,4,7,2,-17,115,94,85,628,0.998188406,0.960674157,0.995169082,1.007766103,0.162429379,0.837570621,0.129476584,0.870523416,0.877344877,0.122655123,0.126028497,0.873971503,0.685317581
12339,13204,-3,16,13,9,157,169,140,829,1.001358696,0.91011236,0.968599034,0.995888534,0.221751412,0.778248588,0.232782369,0.767217631,0.797979798,0.202020202,0.166365643,0.833634357,0.126573364
12889,14107,-6,14,5,-13,71,64,45,255,1.002717391,0.921348315,0.987922705,1.005938785,0.100282486,0.899717514,0.08815427,0.91184573,0.935064935,0.064935065,0.051173992,0.948826008,0.72975873
14679,15376,45,21,2,49,70,74,51,368,0.979619565,0.882022472,0.995169082,0.977615349,0.098870056,0.901129944,0.101928375,0.898071625,0.926406926,0.073593074,0.073851094,0.926148906,0.666478585
13930,11057,-5,12,6,-25,117,97,79,599,1.002264493,0.93258427,0.985507246,1.01142074,0.165254237,0.834745763,0.133608815,0.866391185,0.886002886,0.113997114,0.12020871,0.87979129,0.459071144
13495,15304,33,6,4,29,85,81,71,488,0.985054348,0.966292135,0.990338164,0.986751942,0.120056497,0.879943503,0.111570248,0.888429752,0.897546898,0.102453102,0.097932972,0.902067028,0.822185315
11042,10397,-1,21,6,-15,120,106,79,554,1.000452899,0.882022472,0.985507246,1.006852444,0.169491525,0.830508475,0.14600551,0.85399449,0.886002886,0.113997114,0.111178005,0.888821995,0.62369503
14747,13487,37,25,5,15,202,180,150,1399,0.983242754,0.859550562,0.987922705,0.993147556,0.285310734,0.714689266,0.247933884,0.752066116,0.783549784,0.216450216,0.280754566,0.719245434,0.708777623
14747,14107,-4,22,6,2,170,176,148,1107,1.001811594,0.876404494,0.985507246,0.999086341,0.240112994,0.759887006,0.242424242,0.757575758,0.786435786,0.213564214,0.222155328,0.777844672,0.061798595
13487,14747,-7,25,24,2,246,255,206,1399,1.00317029,0.859550562,0.942028986,0.999086341,0.347457627,0.652542373,0.351239669,0.648760331,0.702741703,0.297258297,0.280754566,0.719245434,0.845147874
14771,12266,-7,13,4,-16,227,218,201,1635,1.00317029,0.926966292,0.990338164,1.007309274,0.320621469,0.679378531,0.300275482,0.699724518,0.70995671,0.29004329,0.328115593,0.671884407,0.302953378
14635,10821,65,7,4,55,140,130,119,919,0.970561594,0.960674157,0.990338164,0.974874372,0.197740113,0.802259887,0.179063361,0.820936639,0.828282828,0.171717172,0.184427052,0.815572948,0.31487772
12266,11049,-8,13,5,-19,47,36,18,74,1.003623188,0.926966292,0.987922705,1.008679762,0.066384181,0.933615819,0.049586777,0.950413223,0.974025974,0.025974026,0.014850492,0.985149508,0.841147048
12478,14321,-1,18,3,-7,73,67,46,273,1.000452899,0.898876404,0.992753623,1.003197807,0.103107345,0.896892655,0.092286501,0.907713499,0.933621934,0.066378066,0.054786273,0.945213727,0.247095078
11278,11697,5,11,7,0,161,156,138,899,0.997735507,0.938202247,0.983091787,1,0.22740113,0.77259887,0.214876033,0.785123967,0.800865801,0.199134199,0.180413406,0.819586594,0.790510708
14771,14262,-3,10,5,-16,93,80,65,421,1.001358696,0.943820225,0.987922705,1.007309274,0.131355932,0.868644068,0.110192837,0.889807163,0.906204906,0.093795094,0.084487257,0.915512743,0.802705072
10821,13487,11,22,4,24,170,183,157,936,0.995018116,0.876404494,0.990338164,0.98903609,0.240112994,0.759887006,0.252066116,0.747933884,0.773448773,0.226551227,0.187838651,0.812161349,0.988915031
14771,14869,15,21,11,18,115,118,86,599,0.993206522,0.882022472,0.973429952,0.991777067,0.162429379,0.837570621,0.162534435,0.837465565,0.875901876,0.124098124,0.12020871,0.87979129,0.638115552
14843,12478,32,11,15,22,245,235,209,1598,0.985507246,0.938202247,0.963768116,0.989949749,0.346045198,0.653954802,0.32369146,0.67630854,0.698412698,0.301587302,0.320690347,0.679309653,0.399052601
14307,11697,-8,11,3,-15,195,188,174,1188,1.003623188,0.938202247,0.992753623,1.006852444,0.275423729,0.724576271,0.258953168,0.741046832,0.748917749,0.251082251,0.238410596,0.761589404,0.569894317
10721,14100,-3,23,4,-14,100,89,62,280,1.001358696,0.870786517,0.990338164,1.006395614,0.141242938,0.858757062,0.122589532,0.877410468,0.910533911,0.089466089,0.05619105,0.94380895,0.042320668
10821,14679,-1,10,5,12,350,363,348,2295,1.000452899,0.943820225,0.987922705,0.994518045,0.494350282,0.505649718,0.5,0.5,0.497835498,0.502164502,0.460565924,0.539434076,0.902267088
13204,12889,35,11,3,9,315,289,275,2039,0.984148551,0.938202247,0.992753623,0.995888534,0.444915254,0.555084746,0.398071625,0.601928375,0.603174603,0.396825397,0.40919125,0.59080875,0.337383238
14747,13930,-11,18,3,-28,229,212,191,1721,1.004981884,0.898876404,0.992753623,1.012791229,0.323446328,0.676553672,0.292011019,0.707988981,0.724386724,0.275613276,0.345374273,0.654625727,0.058212565
11433,13487,6,25,5,7,126,127,97,528,0.997282609,0.859550562,0.987922705,0.996802193,0.177966102,0.822033898,0.174931129,0.825068871,0.86002886,0.13997114,0.105960265,0.894039735,0.812504123
11433,11042,-1,21,10,-15,69,55,24,95,1.000452899,0.882022472,0.975845411,1.006852444,0.097457627,0.902542373,0.075757576,0.924242424,0.965367965,0.034632035,0.01906482,0.98093518,0.342892976
12278,14107,6,9,4,2,155,151,138,870,0.997282609,0.949438202,0.990338164,0.999086341,0.218926554,0.781073446,0.207988981,0.792011019,0.800865801,0.199134199,0.174593618,0.825406382,0.151601351
13198,14771,-5,16,5,-54,257,208,187,1499,1.002264493,0.91011236,0.987922705,1.024668799,0.36299435,0.63700565,0.286501377,0.713498623,0.73015873,0.26984127,0.300822798,0.699177202,0.35453774
13204,14730,2,10,5,1,125,124,109,719,0.999094203,0.943820225,0.987922705,0.99954317,0.176553672,0.823446328,0.170798898,0.829201102,0.842712843,0.157287157,0.144290588,0.855709412,0.404463217
12264,14771,-6,13,8,-14,370,362,341,2419,1.002717391,0.926966292,0.980676329,1.006395614,0.52259887,0.47740113,0.49862259,0.50137741,0.507936508,0.492063492,0.485450532,0.514549468,0.321746678
14747,14771,37,13,4,1,142,106,89,679,0.983242754,0.926966292,0.990338164,0.99954317,0.200564972,0.799435028,0.14600551,0.85399449,0.871572872,0.128427128,0.136263295,0.863736705,0.738787703
11648,13930,12,19,13,-3,202,187,155,1352,0.994565217,0.893258427,0.968599034,1.001370489,0.285310734,0.714689266,0.257575758,0.742424242,0.776334776,0.223665224,0.271322496,0.728677504,0.254342845
10821,14027,33,9,4,18,150,135,122,883,0.985054348,0.949438202,0.990338164,0.991777067,0.211864407,0.788135593,0.185950413,0.814049587,0.823953824,0.176046176,0.177202488,0.822797512,0.787756892
